"Relative Pressure","Volume @ STP","1 / [ W((P/Po) - 1) ]",Slope,"Surf. Area"
5.78190e-02,1.4792,3.3194e+01,574.1047,6.0660
1.00566e-01,1.6341,5.4747e+01,544.3899,6.3971
1.45326e-01,1.7706,7.6838e+01,528.7267,6.5866
1.98260e-01,1.9220,1.0294e+02,519.2234,6.7072
2.45523e-01,2.0510,1.2695e+02,517.0519,6.7353
2.98912e-01,2.2079,1.5450e+02,516.8858,6.7375
3.45685e-01,2.3501,1.7987e+02,520.3285,6.6929
3.97414e-01,2.5190,2.0949e+02,527.1222,6.6067
4.46178e-01,2.6826,2.4028e+02,538.5378,6.4666
4.96796e-01,2.8582,2.7637e+02,556.3102,6.2600
5.46397e-01,3.0475,3.1625e+02,578.7992,6.0168
6.00371e-01,3.3125,3.6288e+02,604.4203,5.7617
6.46241e-01,3.5703,4.0939e+02,633.4958,5.4973
6.95489e-01,3.8544,4.7411e+02,681.6977,5.1086
7.45985e-01,4.2032,5.5904e+02,749.3956,4.6471
8.00160e-01,4.6998,6.8165e+02,851.8959,4.0880
8.47077e-01,5.3003,8.3619e+02,987.1448,3.5279
9.00213e-01,6.3508,1.1366e+03,1262.5475,2.7583
9.47051e-01,8.1128,1.7640e+03,1862.6176,1.8697
9.95837e-01,16.5037,1.1597e+04,11645.6309,0.2990
9.89192e-01,16.5967,4.4123e+03,4460.4838,0.7807
9.52844e-01,10.5190,1.5370e+03,1613.0157,2.1590
8.90466e-01,7.3669,8.8295e+02,991.5540,3.5122
8.47719e-01,6.4336,6.9231e+02,816.6750,4.2643
7.91452e-01,5.6586,5.3661e+02,678.0101,5.1364
7.50696e-01,5.2125,4.6221e+02,615.7047,5.6561
6.85266e-01,4.6439,3.7513e+02,547.4217,6.3617
6.45441e-01,4.3603,3.3405e+02,517.5454,6.7289
5.89065e-01,4.0090,2.8609e+02,485.6755,7.1705
5.36052e-01,3.7187,2.4860e+02,463.7593,7.5093
4.88896e-01,3.3646,2.2747e+02,465.2785,7.4848
4.44064e-01,2.8638,2.2316e+02,502.5470,6.9297
3.88259e-01,2.6017,1.9519e+02,502.7248,6.9273
3.33232e-01,2.4021,1.6647e+02,499.5554,6.9712
2.92325e-01,2.2657,1.4587e+02,499.0157,6.9788
2.35697e-01,2.0736,1.1899e+02,504.8489,6.8981
1.81991e-01,1.9050,9.3443e+01,513.4475,6.7826
1.43976e-01,1.7804,7.5586e+01,524.9883,6.6335
8.52780e-02,1.5760,4.7331e+01,555.0198,6.2746
3.39600e-02,1.3376,2.1027e+01,619.1785,5.6244
