Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
16.9343,2.9340e-04,3.4651e-01,1.5925e-04,1.8808e-01,6.2035e-03,7.3265e+00
18.9651,6.0189e-04,6.7183e-01,1.3900e-04,1.4658e-01,6.0630e-03,6.3938e+00
21.3656,9.4227e-04,9.9046e-01,1.3185e-04,1.2343e-01,6.4788e-03,6.0647e+00
24.3785,1.4725e-03,1.4254e+00,1.5394e-04,1.2629e-01,8.6269e-03,7.0775e+00
27.9332,1.9951e-03,1.7996e+00,1.4258e-04,1.0209e-01,9.1575e-03,6.5567e+00
32.2922,2.5445e-03,2.1399e+00,1.0873e-04,6.7339e-02,8.0678e-03,4.9968e+00
38.3467,3.2202e-03,2.4923e+00,9.5764e-05,4.9946e-02,8.4317e-03,4.3976e+00
47.5077,4.1930e-03,2.9019e+00,8.6354e-05,3.6354e-02,9.4018e-03,3.9580e+00
61.0595,5.3694e-03,3.2872e+00,7.4280e-05,2.4330e-02,1.0385e-02,3.4014e+00
86.4996,7.3861e-03,3.7535e+00,5.7548e-05,1.3306e-02,1.1303e-02,2.6135e+00
147.4988,1.0617e-02,4.1916e+00,3.7156e-05,5.0381e-03,1.2245e-02,1.6603e+00
1249.0231,2.3926e-02,4.4047e+00,6.2895e-06,1.0071e-04,1.2300e-02,1.9695e-01
