Radius,"Pore Volume","Pore Surf Area",dV(r),dS(r),dV(logr),dS(logr)
16.7318,4.2811e-04,5.1173e-01,2.0615e-04,2.4642e-01,7.9320e-03,9.4814e+00
18.7371,1.7817e-03,1.9566e+00,6.9998e-04,7.4716e-01,3.0173e-02,3.2206e+01
20.8911,2.6085e-03,2.7481e+00,3.4822e-04,3.3336e-01,1.6732e-02,1.6019e+01
23.6951,3.1617e-03,3.2150e+00,1.7108e-04,1.4440e-01,9.3194e-03,7.8661e+00
27.5032,3.8353e-03,3.7049e+00,1.5371e-04,1.1178e-01,9.7138e-03,7.0638e+00
31.6719,4.3811e-03,4.0495e+00,1.3800e-04,8.7145e-02,1.0051e-02,6.3470e+00
38.1594,5.4786e-03,4.6247e+00,1.2167e-04,6.3768e-02,1.0640e-02,5.5768e+00
46.8125,6.3400e-03,4.9928e+00,1.0396e-04,4.4414e-02,1.1176e-02,4.7748e+00
60.1076,7.8020e-03,5.4792e+00,7.9876e-05,2.6578e-02,1.0969e-02,3.6498e+00
82.1932,9.5626e-03,5.9076e+00,6.8061e-05,1.6561e-02,1.2774e-02,3.1083e+00
154.3086,1.5238e-02,6.6433e+00,4.7953e-05,6.2152e-03,1.6167e-02,2.0954e+00
555.2885,2.5204e-02,7.0022e+00,1.4578e-05,5.2506e-04,1.5984e-02,5.7571e-01
1602.0779,2.5204e-02,7.0022e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
