"Half pore width","Cumulative Pore Volume","Cumulative Surface Area",dV(r),dS(r)
7.7133,6.5391e-04,1.3482e+00,1.5189e-04,1.9692e-01
8.0683,6.8830e-04,1.3908e+00,9.6866e-05,1.2006e-01
8.4397,7.1309e-04,1.4202e+00,6.6755e-05,7.9096e-02
8.8282,7.2361e-04,1.4321e+00,2.7086e-05,3.0681e-02
9.2345,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
9.6595,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
10.1041,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
10.5692,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
11.0557,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
11.5646,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
12.0969,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
12.6537,7.2361e-04,1.4321e+00,0.0000e+00,0.0000e+00
13.2361,7.2799e-04,1.4354e+00,7.5210e-06,5.6821e-03
13.8453,8.1640e-04,1.4993e+00,1.4511e-04,1.0481e-01
14.4826,9.4665e-04,1.5892e+00,2.0440e-04,1.4114e-01
15.1492,1.0980e-03,1.6891e+00,2.2708e-04,1.4989e-01
15.8465,1.2712e-03,1.7984e+00,2.4835e-04,1.5672e-01
16.5758,1.4752e-03,1.9215e+00,2.7964e-04,1.6870e-01
17.3388,1.7077e-03,2.0555e+00,3.0473e-04,1.7575e-01
18.1369,1.9937e-03,2.2132e+00,3.5838e-04,1.9760e-01
18.9717,2.3487e-03,2.4004e+00,4.2530e-04,2.2418e-01
19.8449,2.6550e-03,2.5547e+00,3.5078e-04,1.7676e-01
20.7583,2.9691e-03,2.7061e+00,3.4389e-04,1.6566e-01
21.7138,3.2500e-03,2.8354e+00,2.9394e-04,1.3537e-01
22.7132,3.5241e-03,2.9561e+00,2.7428e-04,1.2076e-01
23.7586,3.7998e-03,3.0721e+00,2.6370e-04,1.1099e-01
24.8522,4.0602e-03,3.1769e+00,2.3818e-04,9.5837e-02
25.9961,4.3190e-03,3.2765e+00,2.2620e-04,8.7013e-02
27.1926,4.5890e-03,3.3758e+00,2.2566e-04,8.2985e-02
28.4443,4.8560e-03,3.4696e+00,2.1332e-04,7.4994e-02
29.7535,5.0883e-03,3.5477e+00,1.7746e-04,5.9645e-02
31.1230,5.3120e-03,3.6196e+00,1.6333e-04,5.2478e-02
32.5555,5.4526e-03,3.6628e+00,9.8166e-05,3.0154e-02
34.0540,5.6092e-03,3.7087e+00,1.0448e-04,3.0680e-02
35.6214,5.8674e-03,3.7812e+00,1.6474e-04,4.6247e-02
37.2610,6.1749e-03,3.8637e+00,1.8753e-04,5.0328e-02
38.9760,6.5003e-03,3.9472e+00,1.8974e-04,4.8681e-02
40.7700,6.8226e-03,4.0263e+00,1.7964e-04,4.4062e-02
42.6465,7.1033e-03,4.0921e+00,1.4962e-04,3.5083e-02
44.6095,7.3739e-03,4.1528e+00,1.3787e-04,3.0905e-02
46.6628,7.6320e-03,4.2081e+00,1.2566e-04,2.6929e-02
48.8105,7.8311e-03,4.2489e+00,9.2705e-05,1.8993e-02
51.0572,8.0400e-03,4.2898e+00,9.3019e-05,1.8219e-02
53.4072,8.3497e-03,4.3478e+00,1.3178e-04,2.4675e-02
55.8655,8.6290e-03,4.3978e+00,1.1361e-04,2.0336e-02
58.4368,8.8897e-03,4.4424e+00,1.0139e-04,1.7351e-02
61.1265,9.1605e-03,4.4867e+00,1.0065e-04,1.6465e-02
63.9401,9.4383e-03,4.5301e+00,9.8754e-05,1.5445e-02
66.8831,9.8044e-03,4.5849e+00,1.2440e-04,1.8599e-02
69.9616,1.0434e-02,4.6749e+00,2.0463e-04,2.9249e-02
73.1818,1.0900e-02,4.7386e+00,1.4463e-04,1.9764e-02
76.5502,1.1295e-02,4.7902e+00,1.1735e-04,1.5329e-02
80.0736,1.1682e-02,4.8385e+00,1.0972e-04,1.3703e-02
83.7592,1.2065e-02,4.8842e+00,1.0385e-04,1.2398e-02
87.6145,1.2442e-02,4.9273e+00,9.7962e-05,1.1181e-02
91.6472,1.2811e-02,4.9675e+00,9.1419e-05,9.9752e-03
95.8655,1.3166e-02,5.0045e+00,8.4125e-05,8.7753e-03
100.2780,1.3500e-02,5.0378e+00,7.5639e-05,7.5429e-03
104.8936,1.3778e-02,5.0644e+00,6.0368e-05,5.7552e-03
109.7216,1.4054e-02,5.0895e+00,5.7185e-05,5.2118e-03
114.7718,1.4331e-02,5.1136e+00,5.4804e-05,4.7750e-03
120.0545,1.4605e-02,5.1364e+00,5.1750e-05,4.3106e-03
125.5804,1.4809e-02,5.1527e+00,3.7086e-05,2.9532e-03
131.3606,1.4948e-02,5.1633e+00,2.3916e-05,1.8207e-03
137.4068,1.5149e-02,5.1779e+00,3.3231e-05,2.4184e-03
143.7314,1.5418e-02,5.1966e+00,4.2527e-05,2.9588e-03
150.3470,1.5859e-02,5.2260e+00,6.6723e-05,4.4379e-03
157.2672,1.6306e-02,5.2543e+00,6.4529e-05,4.1031e-03
164.5059,1.6751e-02,5.2814e+00,6.1530e-05,3.7403e-03
172.0777,1.7198e-02,5.3074e+00,5.8987e-05,3.4279e-03
179.9981,1.8074e-02,5.3561e+00,1.1062e-04,6.1454e-03
