log(log(P/Po)),log(Vads)
-2.7419e+00,1.2176e+00
-1.6266e+00,9.0917e-01
-1.3405e+00,8.0283e-01
-1.1422e+00,7.2430e-01
-1.0140e+00,6.7208e-01
-8.9527e-01,6.2358e-01
-8.0214e-01,5.8596e-01
-7.2215e-01,5.5270e-01
-6.5447e-01,5.2015e-01
-5.8088e-01,4.8395e-01
-5.1738e-01,4.5609e-01
-4.5532e-01,4.2856e-01
-3.9712e-01,4.0122e-01
-3.3600e-01,3.7109e-01
-2.8029e-01,3.4398e-01
-2.1474e-01,3.1197e-01
-1.5319e-01,2.8376e-01
-7.6934e-02,2.4812e-01
-1.0658e-03,2.1327e-01
9.2696e-02,1.7002e-01
