"Radius of curvature","Vapor-Liquid Intrface Area"
2.2873e+03,0.0000e+00
1.7540e+02,7.9670e-01
9.0768e+01,1.2523e+00
5.7494e+01,1.7140e+00
4.2800e+01,2.0925e+00
3.2561e+01,2.5079e+00
2.6276e+01,2.8789e+00
2.1856e+01,3.2472e+00
1.8702e+01,3.6428e+00
1.5787e+01,4.1216e+00
1.3640e+01,4.5218e+00
1.1823e+01,4.9505e+00
1.0340e+01,5.4095e+00
8.9829e+00,5.9528e+00
7.9015e+00,6.4759e+00
6.7945e+00,7.1402e+00
5.8967e+00,7.7722e+00
4.9471e+00,8.6429e+00
4.1542e+00,9.5781e+00
3.3475e+00,1.0870e+01
